Word,Count
spi,491
vig,420
cla,394
knight,289
seer,153
see,149
long,132
realm,120
knights,115
below,108
wants,103
hefty,92
steed,89
restore,87
ability,82
omens,82
cast,76
property,75
passion,75
shield,73
its,73
mail,71
water,68
body,68
season,67
within,67
attack,66
company,64
knighted,63
cannot,62
stone,62
roll,61
helm,61
death,59
great,57
armour,56
through,55
new,52
blast,51
must,50
before,49
time,48
day,47
myth,46
until,46
ground,46
power,45
night,44
hex,43
take,42
damage,42
fire,42
beast,41
blood,41
now,41
make,40
seat,40
over,40
seers,39
slow,39
light,39
form,38
know,38
use,38
after,38
city,37
every,37
against,37
nearby,37
white,37
place,36
sees,36
black,36
being,35
back,35
blade,35
even,34
attacks,34
dead,34
holding,33
knows,33
always,33
once,33
land,33
plate,33
huge,33
like,33
first,32
action,32
target,31
wounded,31
past,31
glory,30
nearest,30
turn,30
left,30
person,30
get,30
bite,30
those,30
wind,30
voice,30
object,30
here,29
weapons,29
home,29
darkness,29
bones,29
vs,29
enough,28
rest,28
beasts,28
dark,28
old,28
tree,28
red,28
toward,28
save,27
die,27
combat,27
something,27
effect,27
grey,27
mist,27
silver,27
wound,26
broken,26
trees,26
vision,26
life,26
somebody,26
find,25
virtue,25
type,25
there,25
eyes,25
iron,25
fall,25
opposite,25
end,24
guard,24
world,24
axe,24
bone,24
away,24
trample,24
return,24
sun,24
name,24
way,23
phase,23
tower,23
future,23
river,23
still,23
anybody,23
sleep,23
horn,23
truth,22
players,22
themselves,22
ruler,22
three,22
causes,22
wall,22
gambeson,22
rock,22
cave,22
things,22
gold,22
hide,22
earth,22
speak,22
birds,22
another,22
under,21
targets,21
eye,21
own,21
share,21
distance,21
hexes,21
off,21
theme,21
across,21
food,21
smoke,21
state,21
shadow,21
characteristic,21
age,20
warband,20
travel,20
while,20
order,20
pass,20
never,20
move,20
loss,20
whole,20
taken,20
fight,20
lies,20
sky,20
sea,20
green,20
leave,20
sight,20
bright,20
metal,20
nothing,20
cold,19
worthy,19
also,19
battle,19
does,19
weapon,19
single,19
specific,19
sword,19
good,19
nature,19
distant,19
ancient,19
crown,19
appears,19
start,18
these,18
omen,18
full,18
guidance,18
flesh,18
feast,18
wilderness,18
stars,18
forest,18
strange,18
mountain,18
elderly,18
claws,18
quest,17
young,17
six,17
circle,17
feels,17
strong,17
heart,17
mace,17
mortal,17
normal,17
people,17
hidden,17
tunnel,17
begins,17
live,17
re,17
burning,17
boar,17
offering,17
head,17
game,16
without,16
number,16
gain,16
visions,16
dice,16
hands,16
small,16
harm,16
moment,16
tools,16
heavy,16
wooden,16
takes,16
service,16
hand,16
beneath,16
hound,16
arms,16
moon,16
travelling,16
claims,16
woods,16
golden,16
want,16
above,16
claim,16
war,16
beyond,16
dust,16
animals,16
fear,16
spider,16
eagle,16
air,16
skin,16
branches,16
made,16
horizon,16
part,15
vassals,15
myths,15
oath,15
should,15
unless,15
seeking,15
direction,15
seek,15
few,15
face,15
pain,15
break,15
melee,15
mounted,15
wood,15
spear,15
plates,15
anything,15
acolytes,15
spire,15
star,15
strike,15
wheel,15
lie,15
hunter,15
bow,15
cloak,15
go,14
items,14
per,14
work,14
cause,14
animal,14
little,14
between,14
sound,14
found,14
salt,14
feel,14
man,14
restock,14
pond,14
shadows,14
pool,14
tall,14
flame,14
clouds,14
thick,14
kill,14
jaws,14
bronze,14
means,13
need,13
court,13
choose,13
turns,13
might,13
large,13
immediately,13
limbs,13
feats,13
carry,13
everybody,13
gd,13
point,13
fighting,13
realms,13
open,13
tattered,13
touch,13
morning,13
sense,13
children,13
living,13
fruit,13
bird,13
trail,13
child,13
toad,13
elephant,13
cloaked,13
call,13
seen,13
shape,13
flight,13
claw,13
horse,13
words,13
skull,13
hates,13
rules,12
known,12
side,12
common,12
value,12
javelins,12
attacking,12
area,12
material,12
used,12
ignore,12
item,12
useful,12
information,12
walls,12
coat,12
petty,12
guards,12
blind,12
points,12
sunrise,12
clear,12
weather,12
memory,12
wild,12
creature,12
enemy,12
hammer,12
itself,12
lion,12
wraith,12
human,12
among,12
forged,12
very,12
soil,12
wings,12
won,12
suddenly,12
thrown,12
heard,12
eat,12
slowly,12
else,12
hunters,12
fungal,12
player,11
both,11
alone,11
wounds,11
gives,11
character,11
sudden,11
total,11
fully,11
present,11
revenge,11
become,11
stop,11
such,11
doesn,11
warbands,11
loyal,11
too,11
rare,11
don,11
set,11
ask,11
knowledge,11
true,11
moss,11
bridge,11
leads,11
fine,11
well,11
soft,11
silk,11
twisted,11
forge,11
flowers,11
fur,11
fish,11
leather,11
subject,11
music,11
hatred,11
ring,11
hooded,11
pack,11
bat,11
hydra,11
around,11
bursts,11
woman,11
everything,11
sorrow,10
running,10
spark,10
different,10
others,10
winter,10
rule,10
virtues,10
spirit,10
give,10
serve,10
perform,10
cudgel,10
higher,10
possible,10
following,10
least,10
leaves,10
scars,10
warm,10
torn,10
limb,10
arm,10
instead,10
unable,10
castle,10
mercenaries,10
militia,10
question,10
would,10
uncommon,10
longsword,10
round,10
local,10
seasons,10
whether,10
chain,10
covered,10
location,10
later,10
humble,10
random,10
draw,10
jagged,10
fate,10
complete,10
best,10
ends,10
could,10
surface,10
filled,10
returning,10
glow,10
bloody,10
appearance,10
structure,10
lake,10
ogre,10
lich,10
wight,10
bull,10
word,10
breath,10
ever,10
horned,10
born,10
ash,10
cut,10
forth,10
clumsy,10
looking,10
heap,10
five,10
prey,10
hair,10
deep,10
vanish,10
falls,10
teeth,10
killed,10
stories,9
guide,9
resolved,9
council,9
dreams,9
dagger,9
non,9
exposed,9
otherwise,9
actions,9
using,9
deny,9
ally,9
show,9
peace,9
table,9
victim,9
less,9
moving,9
charge,9
together,9
soldiers,9
charger,9
grow,9
answer,9
kite,9
general,9
fights,9
come,9
help,9
travellers,9
final,9
path,9
secret,9
rocks,9
giving,9
spread,9
blessing,9
domain,9
coin,9
empty,9
force,9
rain,9
cloud,9
roots,9
pit,9
stones,9
citadel,9
intense,9
hunting,9
rider,9
banner,9
leaf,9
beings,9
troll,9
hole,9
false,9
watching,9
rides,9
pair,9
watch,9
cloth,9
lone,9
led,9
design,9
blue,9
burn,9
wolves,9
wolf,9
masked,9
taking,9
perfect,9
song,9
scholar,9
burned,9
utterly,9
lightning,9
winged,9
fly,9
gift,9
able,9
herald,9
holdings,8
further,8
session,8
significant,8
leading,8
ruling,8
sure,8
extra,8
avoid,8
typically,8
yourself,8
same,8
gambits,8
impaired,8
scar,8
half,8
mortally,8
slain,8
suffer,8
result,8
restored,8
jaw,8
tear,8
smite,8
focus,8
effects,8
count,8
steeds,8
bear,8
leader,8
carries,8
far,8
follow,8
trade,8
offer,8
require,8
lance,8
harp,8
refuse,8
key,8
duty,8
details,8
four,8
hill,8
neighbouring,8
detail,8
entire,8
mood,8
entrance,8
better,8
needed,8
hearing,8
taste,8
spring,8
keep,8
encounter,8
dire,8
physical,8
justice,8
weak,8
sharp,8
pale,8
spiked,8
plants,8
honey,8
love,8
growing,8
barbed,8
mud,8
thorns,8
story,8
plague,8
lizard,8
sprite,8
gargoyle,8
visible,8
band,8
giant,8
eating,8
driven,8
beak,8
near,8
rings,8
bloated,8
scales,8
atop,8
memories,8
beloved,8
thorn,8
shows,8
rising,8
behind,8
axes,8
completely,8
silent,8
speaks,8
soul,8
corpse,8
impossible,8
mocking,8
brass,8
flee,8
chains,8
disturbed,8
soon,8
longs,8
spiral,8
rises,8
shell,8
swarm,8
warning,8
remains,8
impossibly,8
farmer,8
hag,8
member,8
king,8
clockwork,8
tables,7
referee,7
play,7
begin,7
opening,7
duel,7
history,7
risk,7
powerful,7
mind,7
special,7
rope,7
squire,7
shortbow,7
normally,7
characters,7
granted,7
rolling,7
moments,7
cost,7
removed,7
again,7
increase,7
senses,7
impact,7
attacker,7
ranged,7
enemies,7
foot,7
harmed,7
scale,7
receive,7
though,7
usually,7
riders,7
handaxe,7
protection,7
truly,7
brigandine,7
ox,7
called,7
tended,7
thing,7
landmarks,7
gets,7
feature,7
hostile,7
solid,7
safe,7
second,7
concealed,7
given,7
rolls,7
high,7
bad,7
harvest,7
drink,7
event,7
sleeping,7
nest,7
shrouded,7
goblin,7
lair,7
aid,7
betrayal,7
results,7
glittering,7
glass,7
hot,7
thunder,7
dull,7
loud,7
buried,7
colossal,7
ruined,7
abandoned,7
wine,7
invasion,7
armoured,7
ruin,7
mercenary,7
fang,7
defeat,7
forgotten,7
ambush,7
seal,7
boulder,7
fox,7
wurm,7
spectre,7
judge,7
fortress,7
glade,7
changeling,7
stream,7
clearing,7
crowd,7
anger,7
bandit,7
tries,7
hooked,7
milk,7
peak,7
toll,7
moonlight,7
laid,7
mother,7
carved,7
runic,7
bring,7
roar,7
humans,7
last,7
challenge,7
muscular,7
fallen,7
broad,7
conversation,7
behaviour,7
returns,7
painted,7
coming,7
blades,7
arrows,7
defeated,7
fat,7
tiny,7
fleeing,7
emerges,7
copper,7
clothes,7
unbreakable,7
screaming,7
ghostly,7
mass,7
curse,7
scream,7
invisible,7
asks,7
mature,6
wicked,6
played,6
gains,6
loses,6
brought,6
dry,6
sworn,6
protect,6
plan,6
wish,6
remedy,6
fatigued,6
dies,6
assume,6
combatants,6
allies,6
attackers,6
bolster,6
gambit,6
dying,6
having,6
mark,6
max,6
blow,6
involved,6
create,6
causing,6
already,6
typical,6
grants,6
rolled,6
individual,6
dozen,6
siege,6
creatures,6
bolt,6
self,6
raw,6
maul,6
worn,6
generally,6
outside,6
rod,6
flute,6
holds,6
glimpse,6
believe,6
look,6
towers,6
lives,6
landmark,6
covers,6
prompts,6
throw,6
site,6
exploration,6
route,6
line,6
overgrown,6
smashed,6
carrion,6
tomb,6
burial,6
deeds,6
smell,6
whims,6
intent,6
trying,6
forward,6
right,6
sunset,6
warmth,6
passage,6
favour,6
proper,6
hunt,6
wyvern,6
appear,6
looming,6
treat,6
calls,6
faces,6
exist,6
gathering,6
steal,6
forms,6
carrying,6
chaos,6
resolution,6
hold,6
family,6
grand,6
prompt,6
bog,6
violet,6
fiery,6
emerald,6
faint,6
beautiful,6
mound,6
waterfall,6
drowned,6
desire,6
desert,6
sour,6
bread,6
storm,6
punishment,6
short,6
youthful,6
manner,6
blunt,6
reluctant,6
fancy,6
throwing,6
twist,6
knightly,6
willow,6
tiger,6
legion,6
elf,6
dwarf,6
colossus,6
apparatus,6
identity,6
foul,6
village,6
perfectly,6
pot,6
veil,6
weeping,6
forming,6
anyone,6
dream,6
whispers,6
wielder,6
corpses,6
along,6
pilgrims,6
arguing,6
drag,6
faded,6
burns,6
fresh,6
cry,6
fast,6
pile,6
looks,6
blackened,6
spores,6
snake,6
aflame,6
singing,6
horses,6
shadowy,6
cruel,6
extremely,6
peaceful,6
cliff,6
underground,6
patchwork,6
flying,6
pet,6
roaring,6
say,6
hear,6
clad,6
fades,6
grows,6
raiders,6
robes,6
arrives,6
wearers,6
crocodile,6
declaring,6
figure,6
pouch,6
worms,6
mathbf,6
case,5
certain,5
law,5
vagabonds,5
trails,5
read,5
knighthood,5
scope,5
group,5
sits,5
situation,5
run,5
grant,5
moves,5
rank,5
clarity,5
honour,5
squires,5
ride,5
failure,5
consequences,5
surprise,5
reaction,5
current,5
uncertain,5
act,5
victims,5
performed,5
creates,5
control,5
add,5
moved,5
consuming,5
requires,5
caused,5
real,5
training,5
escape,5
learned,5
release,5
affected,5
foe,5
repel,5
trap,5
similar,5
breaking,5
natural,5
charging,5
shields,5
entirely,5
structures,5
destroyed,5
drawn,5
fed,5
rich,5
often,5
staff,5
club,5
brutal,5
wear,5
crystal,5
talons,5
comes,5
appetite,5
vassal,5
understand,5
held,5
sacred,5
terrain,5
barrier,5
castles,5
places,5
clearly,5
amid,5
twisting,5
routes,5
treasure,5
landing,5
stony,5
important,5
reality,5
luck,5
low,5
fail,5
deliver,5
immediate,5
lasting,5
ignoring,5
gather,5
previous,5
seems,5
thoroughly,5
search,5
secrets,5
vast,5
himself,5
times,5
visitors,5
tradition,5
commoners,5
crises,5
famine,5
especially,5
combine,5
ivory,5
mirror,5
thin,5
towering,5
helpful,5
insects,5
mighty,5
entombed,5
isolated,5
flames,5
sweet,5
joy,5
temple,5
garden,5
reliquary,5
cauldron,5
wet,5
meat,5
root,5
poison,5
alcohol,5
tournament,5
friend,5
destroy,5
symbol,5
metallic,5
scout,5
scatter,5
sacrifice,5
mask,5
free,5
pearl,5
rat,5
demon,5
snail,5
polished,5
advice,5
amount,5
choking,5
embers,5
close,5
seeing,5
flail,5
weasel,5
swollen,5
heading,5
tears,5
creator,5
repelled,5
matter,5
branch,5
rivers,5
burnt,5
wing,5
tail,5
eggs,5
swan,5
hood,5
everyone,5
dragged,5
offers,5
lord,5
sack,5
trapped,5
fearmonger,5
upon,5
writhing,5
grasp,5
waiting,5
sign,5
attacked,5
placed,5
halfshield,5
ignores,5
scouts,5
wearer,5
onto,5
resting,5
dried,5
rotting,5
feathers,5
noble,5
hanging,5
narrow,5
opens,5
lights,5
comfort,5
scarred,5
hated,5
serpent,5
crushed,5
grinding,5
happened,5
desires,5
slightly,5
gore,5
countless,5
starlight,5
march,5
hiding,5
whisper,5
serfs,5
smouldering,5
preserved,5
crooked,5
tapestry,5
eaten,5
sinister,5
command,5
gifts,5
message,5
ugly,5
piece,5
followed,5
eternal,5
attempt,5
chance,5
box,5
leaving,5
statue,5
crush,5
crimson,5
shapes,5
looms,5
nightmares,5
shouting,5
clay,5
snow,5
clawed,5
seem,5
wide,5
hardened,5
sings,5
void,5
returned,5
burst,5
warty,5
sorted,5
whom,5
shall,5
slime,5
numerator,5
warriors,5
additional,4
content,4
methods,4
uses,4
fell,4
curious,4
consider,4
news,4
ahead,4
sessions,4
opponent,4
roam,4
journey,4
vigour,4
equal,4
reduced,4
makes,4
longer,4
catch,4
quickly,4
steps,4
remaining,4
benefit,4
situations,4
procedure,4
exhausted,4
passed,4
hospitality,4
materials,4
burden,4
neck,4
nose,4
struggle,4
leg,4
either,4
exploit,4
lands,4
reach,4
discard,4
greater,4
unarmed,4
engage,4
ships,4
larger,4
immobile,4
origin,4
needs,4
during,4
orders,4
goods,4
greatsword,4
crossbow,4
remove,4
mule,4
riding,4
recover,4
range,4
particular,4
cures,4
archer,4
alchemist,4
destined,4
nobody,4
ready,4
title,4
page,4
map,4
loose,4
island,4
marked,4
types,4
presence,4
features,4
ones,4
ruins,4
echo,4
mountains,4
based,4
spot,4
locals,4
hoping,4
sweep,4
treasures,4
primacy,4
remember,4
difficult,4
feeling,4
flavour,4
crisis,4
problem,4
list,4
succeed,4
threat,4
worse,4
ensure,4
passes,4
ambitions,4
solemn,4
ages,4
legacy,4
becomes,4
reroll,4
learn,4
successor,4
road,4
indoors,4
encountered,4
containing,4
reveals,4
woe,4
lay,4
shifting,4
strength,4
searching,4
rough,4
warn,4
missing,4
fact,4
steward,4
authority,4
threats,4
occasionally,4
send,4
debt,4
coffer,4
panic,4
misrule,4
squeeze,4
military,4
improvisational,4
barren,4
marsh,4
swells,4
abyss,4
verdant,4
sunlight,4
stinging,4
reptiles,4
split,4
veiled,4
arch,4
sludge,4
tunnels,4
style,4
ornate,4
pristine,4
moat,4
joyous,4
hearth,4
antlers,4
throne,4
heraldry,4
jewels,4
mild,4
grain,4
mead,4
luminous,4
killing,4
theft,4
adoring,4
optimistic,4
delicate,4
soothing,4
booming,4
kin,4
rival,4
guardian,4
freedom,4
task,4
capture,4
descriptor,4
denied,4
jewelled,4
happen,4
spike,4
swords,4
maze,4
chained,4
cage,4
outpost,4
ranks,4
bait,4
wandering,4
amber,4
pigeon,4
whip,4
owl,4
rune,4
tome,4
meteor,4
vulture,4
weaver,4
entering,4
odds,4
imp,4
coven,4
tell,4
witness,4
lurking,4
stuck,4
demands,4
lantern,4
infected,4
swear,4
angry,4
alight,4
hate,4
built,4
labourers,4
sharing,4
trust,4
heads,4
pride,4
grief,4
skies,4
sorrowful,4
skeletal,4
rage,4
poor,4
master,4
monks,4
washed,4
shaken,4
rocky,4
spreads,4
crushing,4
flees,4
buckler,4
snakes,4
string,4
stag,4
poisoned,4
dug,4
scattered,4
twin,4
tails,4
constantly,4
parts,4
hazy,4
spite,4
cries,4
spotted,4
repellent,4
bound,4
bony,4
objects,4
winding,4
guardians,4
foxes,4
cat,4
movement,4
victory,4
arrived,4
join,4
seeker,4
crying,4
certainty,4
loved,4
layers,4
frightened,4
touched,4
monstrous,4
lead,4
fade,4
quiet,4
layered,4
hunched,4
graveyard,4
rusted,4
rip,4
intentions,4
hunger,4
hears,4
follows,4
beckoning,4
burglar,4
sleeps,4
refusing,4
respect,4
calm,4
shepherd,4
howl,4
legs,4
embroidery,4
confused,4
banished,4
revealed,4
parade,4
aiming,4
devour,4
hermit,4
salty,4
inscribed,4
harmless,4
revealing,4
heightened,4
prediction,4
field,4
pull,4
retreat,4
seeks,4
array,4
thought,4
frail,4
felt,4
bed,4
pike,4
waves,4
barely,4
big,4
dense,4
watches,4
amongst,4
loves,4
draped,4
painful,4
praise,4
gone,4
believes,4
tide,4
wave,4
early,4
acts,4
faster,4
extinguish,4
punish,4
halberd,4
scrolls,4
dusty,4
rumble,4
skulls,4
axebearer,4
crag,4
sickle,4
pieces,4
twice,4
stairway,4
abstract,4
boasts,4
me,4
drinking,4
oily,4
grass,4
gradually,4
floats,4
size,4
lock,4
abandon,4
questions,4
bare,4
cats,4
crops,4
walking,4
glows,4
descends,4
strikes,4
bonebreaker,4
carapace,4
fangs,4
bitter,4
potter,4
really,4
explain,4
declare,4
dawn,4
gust,4
plinth,4
mystic,4
colour,4
somewhere,4
stick,4
hedgehog,4
finally,4
slab,4
patch,4
immaterial,4
names,4
allow,4
ghost,4
elaborate,4
runes,4
pulsing,4
emerging,4
guilty,4
bladed,4
twelve,4
wiry,4
demanding,4
ensuring,4
watcher,4
boneborn,4
whoever,4
nimiod,4
fiends,4
candle,4
holfolk,4
carpenter,4
including,3
critical,3
render,3
started,3
arrive,3
courtier,3
influence,3
adventure,3
let,3
planned,3
joust,3
stake,3
loser,3
provided,3
worthiness,3
position,3
determines,3
keen,3
instinct,3
shrewd,3
tongue,3
camping,3
hatchet,3
lower,3
discussing,3
acting,3
caught,3
defenceless,3
risks,3
becoming,3
highest,3
score,3
daggers,3
bonus,3
hour,3
patched,3
listed,3
detailed,3
treated,3
stimulant,3
receiving,3
sacrament,3
remedies,3
gained,3
lucky,3
torso,3
innards,3
violent,3
ear,3
agony,3
useless,3
doom,3
feat,3
righteous,3
level,3
minor,3
protective,3
cover,3
formation,3
morale,3
groups,3
surrender,3
breached,3
ship,3
ill,3
polearm,3
deal,3
coins,3
ongoing,3
simply,3
hope,3
specialist,3
treasured,3
wielded,3
logging,3
pick,3
javelin,3
shortsword,3
longbow,3
existing,3
wearing,3
flexible,3
bucket,3
saw,3
fishing,3
candles,3
herbalist,3
scribe,3
ball,3
sheep,3
hawk,3
ritual,3
performance,3
poisons,3
sickness,3
many,3
services,3
sage,3
smaller,3
walled,3
truths,3
roles,3
exists,3
working,3
protecting,3
positions,3
guiding,3
creating,3
guidelines,3
barriers,3
passing,3
spanning,3
book,3
course,3
spend,3
came,3
locations,3
traditional,3
quick,3
centre,3
dangers,3
diamond,3
valuable,3
numbers,3
closed,3
blocks,3
dotted,3
example,3
careful,3
meal,3
former,3
swirling,3
sealed,3
choices,3
interesting,3
ve,3
base,3
works,3
established,3
put,3
ending,3
plans,3
year,3
gathers,3
loyalty,3
collected,3
secretive,3
trusted,3
reflection,3
years,3
none,3
pilgrimage,3
unknown,3
courtesy,3
unresolved,3
changes,3
goes,3
rarely,3
prevent,3
deprived,3
did,3
drop,3
roaming,3
mercy,3
arriving,3
recent,3
streams,3
personal,3
social,3
